Item,,UnitCost
Steel window frame Overall size 3000 x 1500mm high complete with burglar bars,Each,4326
,,
Steel window frame Overall size 600 x 500mm high complete with burglar bars,Each,485
S-trap -1 ¼ inches (32mm) Diameter,Each,78
Swicth and Socket box 3 x 3 Inches,Each,22
Swicth and Socket box 3 x 6 Inches,Each,28
Tap - Bib Tap- 13mm Diameter chromium plated,Each,167
Tap - Garden Tap- 13mm Diameter chromium plated,Each,180
Tap - Garden tap19mm chromium plated,Each,203
Tap -Pillar Tap- 13mm Diameter Chrome Plated,Each,198
Tee - ½ inch (13mm) PVC,Each,12
Tee - PVC 19mm x 19mm x 13mm Diameter reducing Tee,Each,21
Tee adaptor 13mm (½ inch)Diameter GI,Each,20
Tee adaptor 25mm Diameter GI,Each,30
Tee adaptor 25mm Diameter PVC,Each,28
Tee UPVC 50mm,Each,126
Thinners (2.5ltrs),Each,224
Thinners (5ltrs),Each,406
Thinners (750mls),Each,77
Thread tape - 40m (medium),Each,20
Thread tape - 65mm (big),Each,27
Thread tape- 25mm(small),Each,12
Three lever mortice door lockset,Each,252
Tile Fix (20kg)-Wall and Floor Tile Adhesive,Each,73
Tiles - 330 x 330mm x 10mm Ceramic,Box,331
Tiles - 330 x 330mm x 10mm Porcelain,Box,316
Tiles - 350 x 250mm 10mm Ceramic,Box,297
Tiles - 350 x 250mm x 10mm Porcelain,Box,310
Tiles - 400 x 400mm x 10mm Porcelain,Box,333
Tiles - 500 x 500mm x 10mm Ceramic,Box,309
Tiles - 500 x 500mm x10mm Porcelain,Box,302
Tiles - 600 x 600mm x 10mm Ceramic Slippery,Box,314
Tiles - 600 x 600mm x 10mm Ceramic- Non Slippery,Box,313
Tiles - 600 x 600mm x 10mm non-slip porcelean,box,316
Tiles - 600 x 600mm x 10mm slippery porcelean,box,332
Tilling Grout 5kg,Each,90
Timber - Sawn softwood 100 x 25mm x 5m,Each,199
Timber - Sawn softwood 100 x 50mm x 5m,Each,230
Timber - Sawn softwood 150 x 50mm x 5m,Each,316
Timber - Sawn softwood 150 x 75mm x 5m,Each,293
Timber - Sawn softwood 200 x 50mm x5m,Each,314
Timber - Sawn softwood 225x25mm x 5m,Each,253
Timber - Sawn softwood 50 x 50mm x 5m,Each,93
Timber - Sawn softwood 75 x 50mm x 5m,Each,139
Toilet Ball Valve complete with floater,Each,217
Toilet Cistern (Ceramic) - 9 Litres,Each,733
Toilet Cistern (PVC) - 9 Litres,Each,544
Toilet roll holder - 150 x 150mm (recessed ceramic),Each,186
Toilet seat and cover (Wooden),Each,464
Toilet seat and cover(Plastic),Each,247
Toilet suite complete complete with PVC cistern,Each,1527
Toilet suite complete with Ceramic cistern,Each,2110
Towel rail - 600mm long chromium plated,Each,273
Two lever mortice door lockset,Each,214
Tying wire - 1.6mm 25Kg,Each,1373
Unequal Angles 100 x 50 x 8mm angle iron x 6 metres,Each,1328
Union Socket - 13mm (½ Inch )PVC,Each,21
Union Socket - 13mm (Ã‚Â½ Inch ) GI,Each,26
Union Socket - 19mm (¼ inches) PVC,Each,23
Union Socket - 19mm(¼ inches) GI,Each,34
Union Socket - 38mm (1 ½ inches) GI,Each,73
Union Socket - 38mm (1 ½ inches) PVC,Each,46
Universal Beams 203 x 133 x25.1kg/m x 13m,Each,14148
Universal Beams 254 x 146 x 43 Kg/m x 13m,Each,24194
Universal Beams 305 x 165 x 54 Kg/m x13m,Each,26775
Universal Beams 457 x 191 x 67kg/mx13m,Each,32890
Universal Columns 203 x 203 x 46kg/mx13m,Each,23368
Universal Columns 305 x 305 x 96kg/m x13m,Each,52955
Universal Columns152 x 152 x 23kg/mx13m,Each,14939
Urinal bowl - Ceramic (Automatic),Each,1659
Urinal bowl - Ceramic (Manual),Each,569
Urinal bowl - Ceramic (Timed),Each,992
U-trap - 1¼ inches (32mm) Diameter Rubber,Each,82
Vent valve - 110mm Diameter PVC,Each,68
Wall filler (Crack Filler) -1kg,kg,36
Wash hand basin (WHB) -Ceramic,Each,593
Wash hand basin (WHB) -Ceramic complete with pedestal,Each,1196
Waste outlet with plug and chain - 1¼ inches (32mm) Diameter,Each,91
Waste pipe (PVC( - 32mm Diameter (1Â¼) - 6m,Each,118
Waste pipe (PVC) - 50mm diameter (2 inches) -6m,Each,174
Waste pipe (PVC) 40mm Diameter ( - 1Â½ inches) -6m,Each,141
Waste trap - 1¼ inches ( 32mm) Diameter,Each,82
Waste trap - 2 inches (50mm) diameter,Each,103
Waste trap -1½ inches ( 40mm) diameter,Each,89
Wheel Barrow (heavy duty),Each,2801
Wheel Barrow (Standard/light duty),Each,1764
Window handle,Each,25
Window hinge (pair),Each,22
Window peg stay,Each,26
Window Putty,kg,31
Window slide,Each,33
Wire nails 1 inch,Kg,54
Wire nails 2 inches,Kg,51
Wire nails 3 inches,Kg,51
Wire nails 4 inches,Kg,50
Wire nails 5 inches,Kg,51
Wood preservative 5 liters,Each,62
